epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
62,5505.79,0.86102,0.30018,0.00655,0.98568,0.99359,0.99376,0.71093,1.03619,0.28326,0.01264,0.0007922,0.0007922,0.0007922
63,5593.76,0.83657,0.27706,0.00641,0.98697,1,0.99455,0.70467,1.03098,0.27356,0.0127,0.0007724,0.0007724,0.0007724
64,5682.05,0.82502,0.28393,0.00625,0.9836,0.98718,0.99436,0.70064,1.08162,0.30065,0.01347,0.0007526,0.0007526,0.0007526
65,5770.24,0.80854,0.27828,0.00594,0.98911,0.98718,0.9943,0.71278,1.03025,0.28158,0.01269,0.0007328,0.0007328,0.0007328
66,5858.11,0.8077,0.27463,0.00585,0.98733,0.99946,0.99442,0.72945,0.98162,0.25524,0.01186,0.000713,0.000713,0.000713
67,5946.08,0.81374,0.278,0.00604,0.97345,0.99359,0.9941,0.70701,1.09558,0.30248,0.01353,0.0006932,0.0006932,0.0006932
68,6034.52,0.81602,0.29255,0.006,0.98654,0.99359,0.99255,0.70767,1.0776,0.28402,0.01316,0.0006734,0.0006734,0.0006734
69,6122.17,0.82353,0.28403,0.00592,0.9918,1,0.99481,0.71755,1.02679,0.2774,0.01252,0.0006536,0.0006536,0.0006536
70,6209.82,0.85533,0.27752,0.00614,0.97669,1,0.99455,0.68157,1.09704,0.29309,0.0135,0.0006338,0.0006338,0.0006338
71,6297.65,0.82125,0.27574,0.00593,0.98732,0.99863,0.99403,0.7123,1.01759,0.29028,0.01243,0.000614,0.000614,0.000614
72,6385.82,0.79629,0.2661,0.00597,0.98535,0.99359,0.99357,0.72171,1.00404,0.27538,0.01212,0.0005942,0.0005942,0.0005942
73,6474.07,0.83047,0.2702,0.00604,0.96868,0.99115,0.9931,0.69241,1.11959,0.3139,0.01378,0.0005744,0.0005744,0.0005744
74,6562.02,0.84231,0.28624,0.0063,0.96809,1,0.99372,0.70718,1.07729,0.28582,0.01314,0.0005546,0.0005546,0.0005546
75,6649.85,0.79093,0.27723,0.00581,0.97493,0.99699,0.99358,0.71357,1.02931,0.28834,0.01264,0.0005348,0.0005348,0.0005348
76,6738.03,0.79652,0.27249,0.0056,0.98732,0.99811,0.99344,0.69427,1.11938,0.29552,0.01367,0.000515,0.000515,0.000515
77,6827.02,0.78629,0.27253,0.00587,0.99243,0.98718,0.99384,0.72157,1.03138,0.27698,0.01253,0.0004952,0.0004952,0.0004952
